stockNum,thisMonth,monthIncreasing,yearIncreasing
2841,30361,30.68,53.91
3052,311264,1.14,-33.12
3056,7981,-83.96,-79.52
3266,60980,-17.56,-61.84
3703,2003938,-14.57,40.28
5515,418566,8.42,-34.78
5519,1038694,118.02,254.89
5521,235577,131.03,-27.36
5522,1609581,-16.64,-23.34
5525,64202,-2.85,-3.14
5531,169716,56.04,20.75
5533,373020,406.03,500.40
5534,102563,56.15,-75.31
6177,13189,141.77,-86.98
9906,12,-7.69,-99.94
9946,110783,58.71,1.37
2208,1111284,-14.28,-39.33
2603,27749820,-13.74,95.20
2605,255934,-9.15,-17.74
2606,1137489,16.09,112.06
2607,572772,-6.34,0.89
2608,990238,-10.56,3.70
2609,21697633,3.28,103.35
2610,10873663,4.29,30.65
2611,63542,22.71,44.39
2612,257405,-7.68,4.80
2613,255825,0.03,10.49
2615,14939036,16.18,178.90
2617,265617,7.20,33.80
2618,8062232,12.34,36.88
2630,314414,-12.69,1.73
2633,3798528,9.42,86.74
2634,1964748,10.56,45.11
2636,2061018,11.61,64.15
2642,321269,1.63,6.52
5607,187434,-4.61,23.84
5608,342210,18.22,71.64
8367,172599,-4.54,6.61
2701,27661,27.90,91.87
2702,58697,2.86,160.72
2704,157530,2.54,126.52
2705,124642,38.87,245.71
2706,23284,0.82,41.56
2707,470775,3.28,76.25
2712,40586,26.71,114.64
2722,63313,18.31,134.12
2727,1477296,0.22,70.92
2731,235259,10.24,132.76
2739,242789,-5.91,141.94
2748,129175,-9.91,139.17
5706,9328,44.17,-19.93
8462,323840,-3.58,23.82
8940,67212,-0.23,462.34
9943,227148,6.87,59.22
2801,2120784,-14.89,-14.87
2809,906968,-17.37,48.54
2812,1171528,1.20,28.31
2816,890448,16.45,23.49
2820,251972,1.86,34.27
2823,21246449,-32.87,1.61
2832,590966,-6.85,30.47
2834,1864444,-5.31,7.51
2836,328407,-24.52,17.19
2838,1651177,23.11,26.21
2845,915129,-3.20,-25.63
2849,515700,0.15,7.23
2850,1510781,2.29,16.70
2851,1562946,-3.88,11.09
2852,574636,1.05,3.58
2855,2244945,126.86,126.54
2867,10681651,-29.09,-5.18
2880,4243157,-9.22,7.28
2881,43051005,-7.02,22.74
2882,59118746,-26.03,1.03
2883,13750281,-38.03,4.85
2884,5041653,3.33,1.59
2885,11557232,-6.38,44.09
2886,5860327,0.41,-16.53
2887,4090025,-2.80,2.99
2888,17289410,8.75,-12.80
2889,867174,-0.42,15.72
2890,3581133,-14.54,8.63
2891,12323459,-2.82,-34.19
2892,5456973,-14.12,1.24
2897,929120,13.91,39.96
5876,2951440,-22.19,-3.31
5880,4612615,8.42,6.44
6005,1130686,-0.63,20.79
6024,201041,-12.44,-1.45
1432,76668,4.98,7.47
2601,503140,-18.70,21.90
2614,450475,7.60,26.87
2901,8650,7.80,8.88
2903,2944976,-11.14,15.30
2905,21778298,36.40,176.80
2906,693497,1.41,37.67
2908,3461563,-14.96,5.26
2910,35169,-69.17,13.99
2911,296764,0.16,5.85
2912,21189179,-4.27,11.88
2913,34433,12.77,59.99
2915,241407,27.10,46.08
8443,98941,8.74,41.43
8454,5803340,-4.99,20.27
1342,139188,-21.75,77.57
1416,21528,-21.13,-35.50
1435,1290,17.91,3.86
1437,44945,-3.15,13.28
1516,191365,107.95,167.56
2062,763375,-0.98,86.67
2348,423915,-0.61,145.13
2358,162805,-0.88,-3.23
2443,10780,-89.88,-52.94
2496,55209,-5.98,-24.00
2514,670879,-34.43,-18.36
2904,44725,-5.20,-12.63
3040,12623,-22.25,16.99
3557,394124,3.24,44.95
4536,661870,-8.23,7.52
6184,163196,-0.60,-0.41
6464,350368,-1.66,-3.59
6504,592022,-2.58,-25.13
6581,161109,141.48,-11.39
6592,1421765,-0.38,25.23
6625,56769,-34.24,348.73
6655,200642,-4.66,22.32
6670,1948100,-0.72,120.84
6754,330073,10.01,11.00
8033,117318,-0.14,85.86
8341,268198,-6.94,31.96
8422,232095,-24.29,15.41
8463,345206,24.97,45.25
8464,2374013,-8.13,39.73
8473,262996,-39.01,-16.36
8478,374656,-13.54,14.15
8481,127366,-11.68,86.04
9902,14413,-31.85,-72.49
9904,22276195,-9.87,4.68
9905,772482,7.08,10.46
9907,3282261,10.62,29.07
9910,6773686,-2.28,32.77
9911,571511,-15.85,34.77
9914,2408701,-24.60,15.11
9917,1174566,-3.37,4.63
9919,268031,-17.33,-38.86
9921,6911440,-17.82,37.36
9924,865750,4.72,15.62
9925,602931,-11.29,1.62
9927,751001,7.31,10.78
9928,63863,3.39,-0.31
9929,47439,1.21,7.69
9930,903766,5.71,7.87
9933,4298685,-25.20,-19.23
9934,1802372,-5.07,88.53
9935,445818,7.01,38.86
9938,3096417,29.42,147.94
9939,1867767,-5.98,8.61
9940,1612238,3.03,87.19
9941,2669688,1.01,8.29
9942,329581,-1.00,42.09
9944,267649,4.67,23.25
9945,2042077,26.79,95.52
9955,113275,8.45,1.84
1264,409622,-2.84,19.65
1796,40278,-3.83,39.05
4205,132842,0.01,0.07
4207,327774,-19.67,7.40
4712,899,-86.95,1854.34
4303,37820,-1.54,12.12
4304,31284,-24.21,-3.72
4305,125100,-1.03,81.43
8354,66576,-12.63,10.48
9950,82128,26.96,114.80
4401,452554,0.10,202.75
4402,14310,19.27,27.08
4406,36987,-14.13,146.41
4413,75910,149.05,56.58
4417,228106,-24.10,23.89
4419,103,-63.34,43.05
4420,84825,-10.95,177.17
4429,80995,-9.12,48.75
4432,121044,99.02,34.82
4433,257176,-1.13,56.93
1570,39647,-44.29,-1.82
1580,387548,22.16,60.12
1586,205459,0.53,1.56
1599,227624,-25.12,-12.56
2066,197488,-10.56,84.55
2067,79457,-20.64,11.84
2070,62317,28.09,298.90
2230,62465,34.10,132.44
2235,52107,15.42,17.41
3162,106184,-0.93,36.32
3178,127464,8.04,9.09
3226,263755,2.51,78.52
3379,34076,-76.16,118.71
3426,56171,6.30,18.68
4502,104153,17.03,58.12
4503,6241,-56.03,-63.79
4506,321116,-2.83,-10.17
4510,165906,150.02,5.26
4513,114542,-36.12,54.91
4523,50096,-36.36,-6.94
4527,170603,-20.12,-19.21
4528,247435,35.48,27.15
4530,17268,5.46,378.47
